Date,Open,High,Low,Close,Adj Close,Volume
"Apr 8, 2018",385.74,402.59,385.6,400.51,400.51,948488000
"Apr 7, 2018",370.38,393.06,369.94,385.31,385.31,951475008
"Apr 6, 2018",382.73,385.2,366.91,370.29,370.29,967105984
"Apr 5, 2018",379.95,387.72,369.82,383.23,383.23,1210680064
"Apr 4, 2018",416.48,417.47,375.31,380.54,380.54,1287730048
"Apr 3, 2018",387.31,418.97,383.53,416.89,416.89,1363399936
"Apr 2, 2018",379.7,395.17,377.59,386.42,386.42,1102259968
"Apr 1, 2018",397.25,400.53,363.8,379.61,379.61,1256930048
"Mar 31, 2018",395,418.47,392.95,396.46,396.46,1323920000
"Mar 30, 2018",385.9,409.93,368.63,394.64,394.64,1878130048
"Mar 29, 2018",448.08,450.81,385.81,385.97,385.97,1970230016
"Mar 28, 2018",450.29,466.21,444.86,446.28,446.28,1514179968
"Mar 27, 2018",489.59,491.46,449.97,450.12,450.12,1617939968
"Mar 26, 2018",524.29,526.38,470.44,489.95,489.95,1638880000
"Mar 25, 2018",522.7,535.82,515.66,524.29,524.29,1151170048
"Mar 24, 2018",542.57,545.38,526.08,526.44,526.44,1300009984
"Mar 23, 2018",539.86,540.49,512.13,539.62,539.62,1596349952
"Mar 22, 2018",562.1,577.57,523.09,539.7,539.7,1523459968
"Mar 21, 2018",559.1,589.61,550.57,561.73,561.73,1781270016
"Mar 20, 2018",556.72,567.09,521.2,557.17,557.17,1833680000
"Mar 19, 2018",546.63,558.1,519.12,556.73,556.73,2046790016
"Mar 18, 2018",551.64,551.64,460.09,538.64,538.64,2685499904
"Mar 17, 2018",601.68,609.15,549.1,552.78,552.78,1267810048
"Mar 16, 2018",611.78,623.17,587.86,601.67,601.67,1417350016
"Mar 15, 2018",614.84,620.62,579.51,611.3,611.3,1770460032
"Mar 14, 2018",691.22,702.78,594.1,614.29,614.29,1810560000
"Mar 13, 2018",698.15,713.73,682.35,690.83,690.83,1425959936
"Mar 12, 2018",724.41,742.51,683.27,699.83,699.83,1764999936
"Mar 11, 2018",685.31,735.83,668.12,723.34,723.34,1562680064
"Mar 10, 2018",730.16,748.03,682.7,686.89,686.89,1532960000
"Mar 9, 2018",702.2,729.16,648.11,728.92,728.92,2233019904
"Mar 8, 2018",752.57,773.77,696.17,704.6,704.6,1891640064
"Mar 7, 2018",816.27,825.61,726.55,752.83,752.83,2175419904
"Mar 6, 2018",853.82,853.82,809.93,816.95,816.95,1943069952
"Mar 5, 2018",866.85,869.92,853.52,853.68,853.68,1898489984
"Mar 4, 2018",856.19,867.95,840.28,866.68,866.68,1697939968
"Mar 3, 2018",856.71,868.45,855.21,857.22,857.22,1699369984
"Mar 2, 2018",871.76,876.38,852.42,856.85,856.85,1894419968
"Mar 1, 2018",856.01,880.3,851.92,872.2,872.2,1868519936
"Feb 28, 2018",877.93,890.11,855.12,855.2,855.2,1963980032
"Feb 27, 2018",870.36,896.26,867.1,878.27,878.27,2053980032
"Feb 26, 2018",845.28,880.39,842.32,869.32,869.32,2044480000
"Feb 25, 2018",839.46,853.15,822.38,844.81,844.81,1646960000
"Feb 24, 2018",861.59,879.53,818.55,840.52,840.52,1926579968
"Feb 23, 2018",811.59,886.32,794.79,864.19,864.19,2334820096
"Feb 22, 2018",849.26,875.93,802.67,812.84,812.84,2150370048
"Feb 21, 2018",894.14,912.38,830.56,849.97,849.97,2531729920
"Feb 20, 2018",943.57,965.27,892.95,895.37,895.37,2545260032
"Feb 19, 2018",921.67,957.78,921.55,943.86,943.86,2169019904
"Feb 18, 2018",973.35,982.93,915.45,923.92,923.92,2567290112
"Feb 17, 2018",944.75,976.59,940.75,974.11,974.11,2525720064
"Feb 16, 2018",934.79,950.01,917.85,944.21,944.21,2369449984
"Feb 15, 2018",923.73,951.95,911.11,936.98,936.98,2900100096
"Feb 14, 2018",844.28,926.43,844.28,923.56,923.56,2818370048
"Feb 13, 2018",869.29,870.71,828.84,845.26,845.26,2081170048
"Feb 12, 2018",817.51,875.94,817.51,868.71,868.71,2243450112
"Feb 11, 2018",859.29,859.29,788.22,814.66,814.66,2486650112
"Feb 10, 2018",882.47,917.4,825.58,860.41,860.41,2930530048
"Feb 9, 2018",818.48,884,788.83,883.86,883.86,2495820032
"Feb 8, 2018",755.84,845.09,755.84,817.81,817.81,3708189952
"Feb 7, 2018",790.43,851.2,723.43,757.07,757.07,3896179968
"Feb 6, 2018",707.74,796.44,574.42,793.12,793.12,6518269952
"Feb 5, 2018",834.96,856.65,644.6,697.95,697.95,4269530112
"Feb 4, 2018",964.67,969.03,805.06,834.68,834.68,2997090048
"Feb 3, 2018",919.21,991.94,847.69,964.02,964.02,3243480064
"Feb 2, 2018",1035.77,1035.77,757.98,915.78,915.78,6713290240
"Feb 1, 2018",1119.37,1161.35,984.82,1036.79,1036.79,5261680128
"Jan 31, 2018",1071.09,1128.66,1034.5,1118.31,1118.31,3757560064
"Jan 30, 2018",1184.13,1184.63,1058.97,1071.13,1071.13,4107859968
"Jan 29, 2018",1246.7,1256.7,1169.08,1182.36,1182.36,3715079936
"Jan 28, 2018",1111.78,1257.77,1111.78,1246.01,1246.01,5372329984
"Jan 27, 2018",1055.75,1121.98,1042.12,1107.07,1107.07,3002870016
"Jan 26, 2018",1052.7,1080.6,996.78,1055.17,1055.17,3617690112
"Jan 25, 2018",1063.22,1104.66,1034.74,1056.03,1056.03,4050190080
"Jan 24, 2018",987.48,1062.44,965.81,1058.78,1058.78,3944039936
"Jan 23, 2018",1004.17,1023.23,920.54,986.23,986.23,3556699904
"Jan 22, 2018",1055.35,1089.1,930.74,1003.26,1003.26,3810099968
"Jan 21, 2018",1155.68,1155.68,1021.5,1049.58,1049.58,3378089984
"Jan 20, 2018",1044.95,1167.11,1044.95,1155.15,1155.15,3975190016
"Jan 19, 2018",1028.82,1093.22,1003.71,1039.1,1039.1,4084450048
"Jan 18, 2018",1016.44,1100.31,967.76,1036.28,1036.28,5938319872
"Jan 17, 2018",1061.34,1090.23,780.92,1014.25,1014.25,8545160192
"Jan 16, 2018",1292.63,1292.63,875.54,1053.69,1053.69,8405139968
"Jan 15, 2018",1365.21,1390.59,1290.6,1291.92,1291.92,4781100032
"Jan 14, 2018",1397.48,1400.56,1286.21,1366.77,1366.77,4841630208
"Jan 13, 2018",1270.47,1432.88,1270.47,1396.42,1396.42,5746760192
"Jan 12, 2018",1158.29,1296.04,1120.09,1273.2,1273.2,5222300160
"Jan 11, 2018",1268.09,1337.3,1135.17,1154.93,1154.93,7235899904
"Jan 10, 2018",1300.34,1417.38,1226.6,1255.82,1255.82,9214950400
"Jan 9, 2018",1146,1320.98,1145.49,1299.74,1299.74,7965459968
"Jan 8, 2018",1158.26,1266.93,1016.05,1148.53,1148.53,8450970112
"Jan 7, 2018",1043.01,1153.17,1043.01,1153.17,1153.17,5569880064
"Jan 6, 2018",995.15,1060.71,994.62,1041.68,1041.68,4662219776
"Jan 5, 2018",975.75,1075.39,956.33,997.72,997.72,6683149824
"Jan 4, 2018",961.71,1045.08,946.09,980.92,980.92,6502859776
"Jan 3, 2018",886,974.47,868.45,962.72,962.72,5093159936
"Jan 2, 2018",772.35,914.83,772.35,884.44,884.44,5783349760
"Jan 1, 2018",755.76,782.53,742,772.64,772.64,2595760128
"Dec 31, 2017",712.21,760.35,710.12,756.73,756.73,2554269952
"Dec 30, 2017",753.82,753.82,685.23,717.26,717.26,3187780096
"Dec 29, 2017",740.39,770.12,729.61,753.59,753.59,2648969984
"Dec 28, 2017",762.21,763.32,701.19,737.02,737.02,2389149952
"Dec 27, 2017",774.97,789.25,738.41,762.84,762.84,2100029952
"Dec 26, 2017",763.37,786.79,760.93,773.84,773.84,2201159936
